object_id,disposition,orbital_period,transit_duration,transit_depth_ppm,planet_radius,stellar_temp,stellar_logg,stellar_radius,mission,,,,,,,,,
K00117.04,CONFIRMED,7.95825328,4.377,50,1.06,5847,4.191,1.402,Kepler,,,,,,,,,
K00841.02,CONFIRMED,31.33046135,5.176,5073.8,6.5,5251,4.581,0.817,Kepler,,,,,,,,,
K00831.01,FALSE POSITIVE,3.9043425,3.831,16228,12.28,5810,4.526,0.898,Kepler,,,,,,,,,
K00832.01,FALSE POSITIVE,9.286358079,3.49949,44791,17.61,5670,4.523,0.821,Kepler,,,,,,,,,
K00833.01,FALSE POSITIVE,3.951405455,2.1862,2453.9,31.44,6046,4.539,0.869,Kepler,,,,,,,,,
K00834.01,CONFIRMED,23.65369415,8.2183,3341.8,7.89,5739,4.191,1.384,Kepler,,,,,,,,,
K00834.02,CONFIRMED,13.23352214,6.7372,504.6,3.06,5739,4.191,1.384,Kepler,,,,,,,,,
K00834.03,CONFIRMED,6.15560285,4.9843,285,2.32,5739,4.191,1.384,Kepler,,,,,,,,,
K00834.04,CONFIRMED,2.090811305,3.388,115.9,1.62,5739,4.191,1.384,Kepler,,,,,,,,,
K00117.03,CONFIRMED,3.180027898,3.5797,120.3,1.53,5847,4.191,1.402,Kepler,,,,,,,,,
K00834.05,CONFIRMED,50.4467417,7.159,370.3,2.67,5739,4.191,1.384,Kepler,,,,,,,,,
K00835.01,CONFIRMED,11.76307164,2.9076,1037.3,2.35,4959,4.603,0.756,Kepler,,,,,,,,,
K00835.02,CONFIRMED,56.2279271,3.57,862.7,2.37,4959,4.603,0.756,Kepler,,,,,,,,,
K00836.01,FALSE POSITIVE,2.384052875,3.0918,1268.1,17.06,4794,4.58,0.701,Kepler,,,,,,,,,
K00837.01,CONFIRMED,7.953547,2.6312,875.4,2.25,4768,4.536,0.779,Kepler,,,,,,,,,
K00837.02,CONFIRMED,4.14451656,2.3421,391.8,1.48,4768,4.536,0.779,Kepler,,,,,,,,,
K00838.01,FALSE POSITIVE,4.859386384,2.2757,6044.3,38.33,6072,4.47,0.988,Kepler,,,,,,,,,
K00850.01,CONFIRMED,10.52629458,2.5211,9768,8.24,5386,4.553,0.793,Kepler,,,,,,,,,
K00851.01,CONFIRMED,4.583520948,2.7055,3812.1,5.39,5815,4.54,0.877,Kepler,,,,,,,,,
K00852.01,CONFIRMED,3.76181843,3.5176,510.6,2.66,5653,4.472,0.949,Kepler,,,,,,,,,
K00853.01,CONFIRMED,8.20396958,2.9667,1024.4,3.01,5015,4.499,0.826,Kepler,,,,,,,,,
K00853.02,CONFIRMED,14.49645186,4.016,647.5,3.01,5015,4.499,0.826,Kepler,,,,,,,,,
K00841.03,CONFIRMED,6.54626149,2.75,655.9,2.19,5251,4.581,0.817,Kepler,,,,,,,,,
K00842.01,CONFIRMED,12.71809866,3.0957,1149.4,2.31,4702,4.592,0.686,Kepler,,,,,,,,,
K00842.02,CONFIRMED,36.06588163,4.3246,1563.8,2.64,4702,4.592,0.686,Kepler,,,,,,,,,
K00843.01,CONFIRMED,4.190425659,2.8589,2877.4,6.21,6073,4.392,1.135,Kepler,,,,,,,,,
K00844.01,CONFIRMED,3.709870784,3.0694,2020.3,4.35,5727,4.463,0.978,Kepler,,,,,,,,,
K00845.01,CONFIRMED,16.3297527,6.271,1187.5,3.75,5878,4.444,0.987,Kepler,,,,,,,,,
K00846.01,CONFIRMED,27.80756622,4.21587,25391,13.84,5862,4.584,0.785,Kepler,,,,,,,,,
K00847.01,CONFIRMED,80.8723469,11.195,3604.6,7.59,5510,4.222,1.238,Kepler,,,,,,,,,
K00848.01,FALSE POSITIVE,3.166465862,2.9381,4357.2,26.82,4968,4.575,0.704,Kepler,,,,,,,,,
K00118.01,CONFIRMED,24.99324319,5.9409,269.6,2.29,5718,4.181,1.317,Kepler,,,,,,,,,
K00849.01,CONFIRMED,10.35533116,3.1775,750.6,2.47,5501,4.462,0.918,Kepler,,,,,,,,,
K00867.01,CONFIRMED,16.08518937,3.984,1442.4,3.68,5239,4.523,0.826,Kepler,,,,,,,,,
K00868.01,CANDIDATE,235.9986399,8.2284,20715,10.59,4245,4.627,0.657,Kepler,,,,,,,,,
K00869.01,CONFIRMED,7.49018305,2.7297,1123.6,2.56,5103,4.562,0.787,Kepler,,,,,,,,,
K00869.02,CONFIRMED,36.2761238,4.7865,1572.6,3.03,5103,4.562,0.787,Kepler,,,,,,,,,
K00869.03,CONFIRMED,17.46087931,2.2641,812.4,2.32,5103,4.562,0.787,Kepler,,,,,,,,,
K00854.01,CONFIRMED,56.0560754,4.685,1626,1.94,3593,4.757,0.491,Kepler,,,,,,,,,
K00855.01,CONFIRMED,41.40831669,5.0264,22839,11.38,5522,4.586,0.747,Kepler,,,,,,,,,
K00856.01,CANDIDATE,39.74893077,7.3051,15179,14.21,6122,4.487,0.964,Kepler,,,,,,,,,
K00857.01,CONFIRMED,5.715425977,2.5242,908.1,2.47,5237,4.572,0.826,Kepler,,,,,,,,,
K00119.01,CONFIRMED,49.18394185,11.3364,1646.2,8.2,5626,3.907,2.057,Kepler,,,,,,,,,
K00857.02,CONFIRMED,20.0261412,1.611,421.2,2.28,5237,4.572,0.826,Kepler,,,,,,,,,
